epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3041,1.81416,2.49383,1.64596,0.01234,0.22844,0.00976,0.00423,2.22059,inf,2.42218,0.000407986,0.000407986,0.000407986
2,28.9355,1.43208,1.44836,1.42976,0.00142,0.00863,0.00109,0.00025,4.64817,7.06988,9.04698,0.000820571,0.000820571,0.000820571
3,42.6181,1.48671,1.38105,1.4381,0.57876,0.2887,0.32287,0.1546,1.84079,2.08301,2.08879,0.00122903,0.00122903,0.00122903
4,56.952,1.45554,1.31816,1.42226,0.63583,0.12128,0.08376,0.03092,2.78289,7.66016,2.85174,0.00123144,0.00123144,0.00123144
5,70.4136,1.41484,1.22198,1.42748,0.62343,0.23984,0.25746,0.12853,2.07961,2.04094,2.22543,0.00122525,0.00122525,0.00122525
6,83.9386,1.40287,1.23497,1.39012,0.22902,0.18418,0.14545,0.05751,2.78629,2.64162,2.44039,0.00121906,0.00121906,0.00121906
7,97.2281,1.32925,1.15484,1.34401,0.54134,0.56161,0.57201,0.30582,1.63172,1.50659,1.82258,0.00121287,0.00121287,0.00121287
8,110.895,1.32999,1.14523,1.35978,0.56944,0.55504,0.59005,0.34467,1.36786,1.58788,1.52102,0.00120669,0.00120669,0.00120669
9,124.245,1.31411,1.04921,1.34011,0.68621,0.59801,0.6662,0.40608,1.33302,1.02343,1.54374,0.0012005,0.0012005,0.0012005
10,137.807,1.32568,1.05004,1.35784,0.65589,0.61142,0.62261,0.37197,1.39872,1.34158,1.56737,0.00119431,0.00119431,0.00119431
11,151.658,1.29629,0.996,1.30475,0.73173,0.53801,0.64175,0.37336,1.39869,3.30166,1.55751,0.00118812,0.00118812,0.00118812
12,164.878,1.27587,1.00834,1.325,0.58254,0.55532,0.55639,0.30331,1.56304,1.7092,1.71146,0.00118194,0.00118194,0.00118194
13,178.003,1.26163,0.97264,1.29743,0.66279,0.56734,0.64059,0.3767,1.34759,1.1142,1.54102,0.00117575,0.00117575,0.00117575
14,191.364,1.2736,0.96213,1.30641,0.66376,0.67006,0.72987,0.45007,1.28902,0.99361,1.4997,0.00116956,0.00116956,0.00116956
15,204.829,1.28677,0.98781,1.32154,0.65724,0.56133,0.60591,0.37172,1.3306,1.38645,1.50525,0.00116337,0.00116337,0.00116337
16,218.004,1.24128,0.9311,1.27089,0.64799,0.66376,0.70249,0.42806,1.29877,0.97606,1.46145,0.00115719,0.00115719,0.00115719
17,231.411,1.23792,0.95621,1.29325,0.74546,0.66672,0.74742,0.46437,1.27633,0.91049,1.45731,0.001151,0.001151,0.001151
18,244.843,1.19705,0.88565,1.25537,0.69574,0.62107,0.68682,0.42305,1.29321,1.19612,1.46334,0.00114481,0.00114481,0.00114481
19,258.266,1.20938,0.87731,1.25744,0.64854,0.72197,0.73587,0.46833,1.21826,1.17826,1.42976,0.00113863,0.00113863,0.00113863
20,271.78,1.2114,0.91535,1.26427,0.77051,0.67964,0.77408,0.49,1.21703,0.88081,1.41409,0.00113244,0.00113244,0.00113244
21,285.172,1.19324,0.91423,1.25255,0.65145,0.59768,0.63752,0.39818,1.30561,1.13072,1.47404,0.00112625,0.00112625,0.00112625
22,298.446,1.2124,0.87308,1.26881,0.75905,0.68889,0.77946,0.49156,1.24183,0.90549,1.45961,0.00112006,0.00112006,0.00112006
23,311.916,1.1789,0.85167,1.24479,0.72175,0.73547,0.7853,0.50213,1.19882,0.86675,1.40921,0.00111388,0.00111388,0.00111388
24,325.917,1.20864,0.84182,1.24929,0.75983,0.74885,0.80584,0.52629,1.19241,0.77104,1.3968,0.00110769,0.00110769,0.00110769
25,339.533,1.19149,0.8446,1.26317,0.73599,0.77628,0.79669,0.4902,1.29104,0.78235,1.51306,0.0011015,0.0011015,0.0011015
26,352.78,1.13238,0.81663,1.22614,0.77511,0.73999,0.78907,0.50951,1.24798,0.95448,1.4488,0.00109531,0.00109531,0.00109531
27,366.028,1.16332,0.82491,1.23726,0.7533,0.75457,0.80746,0.51653,1.2224,0.94044,1.42969,0.00108913,0.00108913,0.00108913
28,379.374,1.14391,0.82677,1.21656,0.75492,0.69734,0.74988,0.48603,1.20382,0.83054,1.39758,0.00108294,0.00108294,0.00108294
29,392.525,1.13087,0.82805,1.22215,0.75695,0.73861,0.79831,0.52576,1.19518,0.8039,1.41969,0.00107675,0.00107675,0.00107675
